teamName,teamId,internationalSide
Albania,94d0cac4-4c6f-4e5b-919b-1aac519f071c,1
Algeria,3200,1
All Blacks XV,1832,0
American Samoa,3674,1
Andorra,692,1
Andorra,855382e7-07e9-4c06-bfd6-58fb07af227a,1
Arabian Gulf,693,1
Argentina,40,1
Argentina A,1195,0
Argentina Jaguars,1195,0
Argentina XV,2183,0
Armenia,2376,1
Australia,38,1
Australia,2577,1
Australia A,1142,0
Australia A,4060,0
Austria,696,1
Austria,3381,1
Azerbaijan,2424,1
Bahamas,697,1
Bahrain,0,0
Bangladesh,4757,1
Barbados,698,1
Barbarians,54,1
Barbarians Women,4356,0
BC All Stars,4526,0
Belarus,4000,1
Belgium,699,1
Belgium,2906,1
Benin,2380,1
Bermuda,700,1
Black Ferns Development XV,4538,0
Black Ferns XV ,4538,0
Bosnia & Herzegovina,701,1
Botswana,702,1
Botswana,3677,1
Brazil,703,1
Brazil,3396,1
Brazil Selection,4532,0
British & Irish Lions,55,0
British Army,406,0
British Army,4055,0
British Columbia,1000,0
British Virgin Islands,3235,1
British XV,1488,0
Brown University,4165,0
Brunei,2574,1
Bulgaria,704,1
Bulgaria,98dd132a-7180-42c3-a7bd-fdf4baaf9d4f,1
Burkina Faso,4582,1
Burkina Faso,2389,1
Burundi,2386,1
Cambodia,2575,1
Cameroon,705,1
Cameroon,4583,1
Canada,50,1
Canada,2578,1
Caribbean Selects,3325,0
Cayman Islands,707,1
Cayman Islands,3326,1
Chad,2856,1
Chile,708,1
Chile XV,4563,0
China,709,1
China,3383,1
Chinese Taipei,710,1
Classic All Blacks,3671,0
Colombia,711,1
Colombia,4518,1
Combined Services,1210,0
Congo,3064,1
Cook Islands,712,1
Costa Rica,2585,1
Cote D'Ivoire,681,1
Cote D'Ivoire,4590,1
Cote D'Ivoire,0,0
Croatia,713,1
Croatia,467f73bd-d147-4212-9149-e86964955bf8,1
Curacao,3565,1
Cyprus,2742,1
Czech Republic,714,1
Czech Republic,3397,1
Czechia,714,1
Czechia,3397,1
Czechoslovakia,1211,1
Democratic Republic of Congo,3221,1
Denmark,715,1
Denmark,3384,1
Dominican Republic,4227,1
East Germany,1165,1
Eastern Province,574,0
Ecuador,3999,1
Egypt,3201,1
El Salvador,4002,1
El Salvador,4561,1
Emerging Australians,1244,0
Emerging England,1257,0
Emerging Ireland,3606,0
Emerging Italy,3472,0
Emerging South Africa,639,0
England,34,1
England,2517,1
England A,2971,0
England A,1157,0
England B,1157,0
